Date_Time,wsp_wimea,wdir_wimea,wsp_unma,wdir_unma
19-01-18 09:15,67.59228,213.962,2.56,210.3
24-01-18 21:45,175.41806,260.755,8.03,176.7
29-01-18 00:30,19.31208,328.092,2.24,194.1
13-12-18 11:45,131.96588,13.4728,8.38,229.7
13-12-18 13:00,157.71532,270.456,13.47,170.7
13-12-18 13:15,159.32466,273.878,12.34,200
13-12-18 13:30,249.4477,277.908,16.56,203.4
13-12-18 13:45,284.85318,238.065,13.44,171.9
13-12-18 14:00,185.0741,252.581,11.67,169.2
13-12-18 14:15,243.01034,270.323,11.35,219.7
13-12-18 14:45,273.5878,285.6,15.19,176.8
13-12-18 15:00,310.60262,268.446,13.04,172.2
13-12-18 15:15,325.08668,343.347,15.21,182.8
13-12-18 15:30,177.0274,224.8,10.96,195.3
13-12-18 15:45,268.75978,251.937,11.53,191.2
13-12-18 16:00,164.15268,250.916,9.83,175
13-12-18 16:15,201.1675,287.57,6.78,204.2
13-12-18 16:30,85.29502,242.948,5.54,184.8
13-12-18 16:45,96.5604,262.072,6.95,193.1
13-12-18 17:00,62.76426,252.51,4.38,176
13-12-18 17:15,1.60934,219.044,2.24,135.9
13-12-18 17:45,0,300.319,4.84,242.5
13-12-18 18:00,74.02964,281.195,5.49,177.4
13-12-18 18:15,82.07634,317.849,5.73,231.9
13-12-18 18:30,9.65604,259.365,3.99,177.5
13-12-18 18:45,59.54558,241.355,6.71,158.2
13-12-18 19:00,128.7472,246.135,6.86,163.6
13-12-18 19:15,135.18456,263.665,6.52,202.1
13-12-18 19:30,72.4203,266.853,5.23,166.1
13-12-18 19:45,38.62416,321.036,4.58,229.7
13-12-18 20:00,64.3736,301.912,2.72,195.4
13-12-18 20:15,57.93624,295.538,4.63,193.7
13-12-18 20:30,90.12304,266.853,5,176.6
13-12-18 20:45,164.15268,250.916,6.99,176.7
13-12-18 21:00,99.77908,260.478,6.79,168.8
13-12-18 21:15,17.70274,231.793,5.25,141.4
13-12-18 21:30,56.3269,250.916,2.68,164.4
13-12-18 21:45,28.96812,266.853,1.64,179.5
13-12-18 22:00,0,255.697,0.64,160.2
13-12-18 22:15,0,252.51,0.64,140.9
13-12-18 22:30,0,185.578,0.64,83.6
13-12-18 23:00,0,222.231,0.83,137
14-12-18 07:15,56.3269,215.857,3.57,154.5
14-12-18 09:00,85.29502,213.071,5.78,118.9
14-12-18 09:30,165.76202,220.625,9.35,124.9
14-12-18 09:45,207.60486,224.015,8.64,125.3
14-12-18 10:00,226.91694,228.062,8.62,114.1
14-12-18 10:15,207.60486,251.318,9.41,136.2
14-12-18 10:30,115.87248,230.769,6.46,136.7
14-12-18 10:45,138.40324,248.702,7.12,171
14-12-18 11:00,133.57522,265.057,8.76,179.3
14-12-18 11:15,20.92142,300.611,6.98,173.3
14-12-18 11:30,164.15268,239.542,7,131.6
14-12-18 11:45,101.38842,224.275,8.52,119.9
14-12-18 13:30,244.61968,249.697,12.76,208.3
14-12-18 13:45,374.97622,280,17.67,174.4
14-12-18 14:00,268.75978,293.308,13.32,195.4
14-12-18 14:15,199.55816,331.331,14.14,234.8
14-12-18 14:45,143.23126,267.452,11.48,180.3
14-12-18 15:30,154.49664,326.97,13.06,170.8
14-12-18 18:00,53.10822,315.094,4.47,215
14-12-18 18:15,86.90436,309.057,4.21,215.6
15-12-18 00:45,0,44.6617,2.81,178.9
15-12-18 07:15,83.68568,312.075,3.75,164.7
15-12-18 08:00,194.73014,266.792,11.47,191
15-12-18 08:15,152.8873,281.887,9.01,211.9
15-12-18 08:30,148.05928,254.242,7.18,171.3
15-12-18 08:45,156.10598,257.273,9.19,181.3
15-12-18 09:00,109.43512,266.364,8.33,184.1
15-12-18 09:15,72.4203,268.973,6.79,168.5
15-12-18 09:30,57.93624,183.802,6.22,113.6
15-12-18 09:45,83.68568,352.519,3.36,203.7
15-12-18 10:00,0,57.8626,4.47,48.1
15-12-18 10:30,22.53076,160.989,2.56,30.4
15-12-18 10:45,69.20162,48.4411,4.64,352.1
15-12-18 11:00,0,104.715,3.44,6.7
15-12-18 11:15,54.71756,69.7338,3.33,353.9
15-12-18 11:30,99.77908,349.466,4.65,225.8
15-12-18 11:45,119.09116,284.615,6.18,185
15-12-18 00:45,32.1868,303.954,2.81,178.9
15-12-18 22:15,90.12304,236.604,6.36,133.2
16-12-18 06:00,138.40324,259.245,2.54,153.5
16-12-18 07:45,156.10598,4.15094,7.14,250
16-12-18 08:00,146.44994,325.455,8.09,242
16-12-18 08:15,162.54334,305.758,8.43,187.4
16-12-18 08:30,228.52628,274.34,11.28,189.3
16-12-18 08:45,220.47958,240.606,13.62,203.6
16-12-18 09:00,214.04222,269.394,14.56,154.1
16-12-18 09:15,156.10598,217.879,8.17,141.5
16-12-18 09:30,156.10598,286.061,10.14,191.5
16-12-18 09:45,239.79166,268.302,11.53,192.2
16-12-18 10:00,159.32466,295.152,11.91,195.7
16-12-18 10:15,127.13786,230,9.56,170.7
16-12-18 10:45,215.65156,220.304,9.28,150.7
16-12-18 11:00,199.55816,280.763,10.89,192.4
16-12-18 11:15,243.01034,261.369,10.02,159.2
16-12-18 11:30,231.74496,293.308,10.91,201.2
16-12-18 11:45,230.13562,284.183,10.85,184.8
16-12-18 14:15,246.22902,231.515,11.39,172.4
16-12-18 15:15,267.15044,265.932,15.97,172.7
