date_time,pm25,wd_unma,ws_unma
14/03/2019 22:00,26.08,190.7,6.48
14/03/2019 22:30,,248,4.76
14/03/2019 23:00,,169.4,5.51
14/03/2019 23:30,,194.2,2.77
15/03/2019 00:00,,201,4.28
15/03/2019 00:30,,204.9,1.87
15/03/2019 01:00,,288,2.5
15/03/2019 01:30,,294.8,3.19
15/03/2019 02:00,,158.9,1.09
15/03/2019 02:30,,295.7,1.56
15/03/2019 03:00,,25.9,2.18
15/03/2019 03:30,,167.4,1.15
15/03/2019 04:00,,223.6,1.19
15/03/2019 04:30,,169.5,2.11
15/03/2019 05:00,,147.2,2.14
15/03/2019 05:30,,149.8,3.69
15/03/2019 06:00,,251.9,4.07
15/03/2019 06:30,,168.6,5.9
15/03/2019 07:00,,146.8,4.75
15/03/2019 07:30,,207.8,5.94
15/03/2019 08:00,,139,4.62
15/03/2019 08:30,,70.3,5.05
15/03/2019 09:00,,122.5,7.23
15/03/2019 09:30,,174.8,5.76
15/03/2019 10:00,,210.7,8.62
15/03/2019 10:30,,87.3,7.38
15/03/2019 11:00,,151.5,7.99
15/03/2019 11:30,,172.1,7.54
15/03/2019 12:00,,170.5,7.46
15/03/2019 12:30,,173.7,9.25
15/03/2019 13:00,,169.9,7.68
15/03/2019 13:30,,133.7,8.03
15/03/2019 14:00,,200.4,8.2
15/03/2019 14:30,,179.6,6.23
15/03/2019 15:00,,162.9,7.75
15/03/2019 15:30,,132.6,10.57
15/03/2019 16:00,,173.7,8.73
15/03/2019 16:30,,134,9.08
15/03/2019 17:00,,148.8,6.71
15/03/2019 17:30,,148.2,9.15
15/03/2019 18:00,,163.7,7.06
15/03/2019 18:30,,163.2,6.66
15/03/2019 19:00,,150.2,5.62
15/03/2019 19:30,,272.9,6.76
15/03/2019 20:00,,172.3,6.31
15/03/2019 20:30,,218,6.47
15/03/2019 21:00,,230.1,6.43
15/03/2019 21:30,,211.9,6.05
15/03/2019 22:00,,191.9,5.76
15/03/2019 22:30,,204.5,5.76
15/03/2019 23:00,,222.8,5.11
15/03/2019 23:30,,243.5,4.36
16/03/2019 00:00,,275.5,3.25
16/03/2019 00:30,,252.9,4.14
16/03/2019 01:00,,4.8,0.66
16/03/2019 01:30,,352.4,0.65
16/03/2019 02:00,,0,1.16
16/03/2019 02:30,,18.9,1.12
16/03/2019 03:00,,99.7,0.81
16/03/2019 03:30,,112.4,3.87
16/03/2019 04:00,,297.3,2.42
16/03/2019 04:30,,159,0.59
16/03/2019 05:00,,290.1,0.6
16/03/2019 05:30,,257.1,2.76
16/03/2019 06:00,,273.5,4.92
16/03/2019 06:30,,295.2,6.01
16/03/2019 07:00,,267.4,3.84
16/03/2019 07:30,,207.5,3.81
16/03/2019 08:00,,275.7,4.14
16/03/2019 08:30,,314.4,4.19
16/03/2019 09:00,,247.2,4
16/03/2019 09:30,,255.7,5.93
16/03/2019 10:00,,161.2,3.31
16/03/2019 10:30,,155.4,6.21
16/03/2019 11:00,,138.2,5.84
16/03/2019 11:30,,182.8,7.79
16/03/2019 12:00,,154.5,6.48
16/03/2019 12:30,,158.5,10.06
16/03/2019 13:00,,126.3,6.91
16/03/2019 13:30,,133.2,8.2
16/03/2019 14:00,,164.4,9.06
16/03/2019 14:30,,142.7,10.52
16/03/2019 15:00,,114.1,9.19
16/03/2019 15:30,,119.2,8.33
16/03/2019 16:00,,156.7,7.93
16/03/2019 16:30,,143.1,8.78
16/03/2019 17:00,,218.4,7.85
16/03/2019 17:30,,161.8,6.19
16/03/2019 18:00,,135.2,5.38
16/03/2019 18:30,,208,4.95
16/03/2019 19:00,,235.1,5.27
16/03/2019 19:30,,220.8,5.57
16/03/2019 20:00,,228.6,5.9
16/03/2019 20:30,,215.2,5.06
16/03/2019 21:00,,304,4.68
16/03/2019 21:30,,273.1,4.77
16/03/2019 22:00,,171.6,4.02
16/03/2019 22:30,,201.4,2.05
16/03/2019 23:00,,329.6,4.33
16/03/2019 23:30,,291.4,7.62
17/03/2019 00:00,,247.8,4.86
17/03/2019 00:30,,297.3,4.53
17/03/2019 01:00,,319,3.35
17/03/2019 01:30,,277.4,6.29
17/03/2019 02:00,,308.8,4.03
17/03/2019 02:30,,157.9,2.32
17/03/2019 03:00,,94.7,1.19
17/03/2019 03:30,,311.6,2.84
17/03/2019 04:00,,307.7,3.18
17/03/2019 04:30,,303.5,5.31
17/03/2019 05:00,,325.6,4
17/03/2019 05:30,,305.2,4.19
17/03/2019 06:00,,323.1,7.77
17/03/2019 06:30,,300.4,8.48
17/03/2019 07:00,,304.2,9.08
17/03/2019 07:30,,305.1,8.93
17/03/2019 08:00,,293.1,9.01
17/03/2019 08:30,,304.7,8.34
17/03/2019 09:00,,292.6,6.2
17/03/2019 09:30,,283.9,7.91
17/03/2019 10:00,,319,6.94
17/03/2019 10:30,,354.5,8.36
17/03/2019 11:00,,320.3,7.2
17/03/2019 11:30,,308.7,5.3
17/03/2019 12:00,,8,6.75
17/03/2019 12:30,,56.3,5.78
17/03/2019 13:00,,147.9,6.88
17/03/2019 13:30,,206.6,6.24
17/03/2019 14:00,,118.5,6.3
17/03/2019 14:30,,159.7,9.51
17/03/2019 15:00,,153.5,11.76
17/03/2019 15:30,,137,12.42
17/03/2019 16:00,,168.3,7.88
17/03/2019 16:30,,198.5,6.35
17/03/2019 17:00,,193.2,8.14
17/03/2019 17:30,65.92318182,149.6,7.77
17/03/2019 18:00,82.38869565,125.5,7.2
17/03/2019 18:30,192.4413043,125.5,5.26
17/03/2019 19:00,137.6265217,122,4.52
17/03/2019 19:30,331.2029167,87.5,1.33
17/03/2019 20:00,405.7241667,168.8,2.9
17/03/2019 20:30,235.3447826,189.9,4.32
17/03/2019 21:00,320.8083333,206.9,3.21
